Year,Season,seasonID,Area,Biomes,Count,areaID,Trend,Rainfall
2000,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00025,566.2
2001,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00125,378.7
2002,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00225,191.2
2003,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00325,351.6
2004,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00425,512
2005,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00525,837.7
2006,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00625,1163.4
2007,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00725,739.6
2008,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00825,315.8
2009,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00925,301.8
2010,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.01025,287.8
2011,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.01125,418.6
2012,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.01225,549.4
2013,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",52,1,2.01325,300.5
2014,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",74,1,2.01425,51.6
2015,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",191,1,2.01525,228.1
2016,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",248,1,2.01625,404.6
2017,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",213,1,2.01725,372.8
2018,autumn,1,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",30,1,2.01825,341
2000,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00075,142.2
2001,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00175,72.9
2002,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00275,3.6
2003,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00375,15.3
2004,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00475,27
2005,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00575,14.6
2006,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00675,2.2
2007,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00775,3.3
2008,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00875,4.4
2009,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.00975,125.7
2010,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.01075,247
2011,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",,1,2.01175,124
2012,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",69,1,2.01275,1
2013,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",48,1,2.01375,2.6
2014,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",165,1,2.01475,4.2
2015,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",304,1,2.01575,39.4
2016,spring,3,Arnhem Coast,"Tropical and subtropical grasslands, savannas, and shrublands",335,1,2.01675,74.6
